iyear,imonth,iday,country,country_txt,region,region_txt,provstate,city,latitude,longitude,attacktype1,attacktype1_txt,targtype1,targtype1_txt,natlty1,natlty1_txt,gname,weaptype1,weaptype1_txt,nkill,propextent,propextent_txt
1982,8,20,92,India,6,South Asia,Rajasthan,Jodhpur,26.292047,73.032411,4,Hijacking,6,Airports & Aircraft,92.0,India,Sikh Extremists,5,Firearms,1.0,,
1982,8,26,92,India,6,South Asia,Maharashtra,Bombay,19.075984,72.877656,1,Assassination,7,Government (Diplomatic),215.0,United Arab Emirates,Unknown,5,Firearms,0.0,,
1982,10,0,92,India,6,South Asia,Punjab,Amritsar,31.633078,74.878288,9,Unknown,2,Government (General),92.0,India,Akali Dal Party,13,Unknown,5.0,,
1982,10,25,92,India,6,South Asia,Manipur,Tipaimukh,24.2355,93.025391,2,Armed Assault,3,Police,92.0,India,Mizo National Front,5,Firearms,6.0,,
1982,10,26,92,India,6,South Asia,Punjab,Amritsar,31.633078,74.878288,3,Bombing/Explosion,15,Religious Figures/Institutions,92.0,India,Unknown,6,Explosives,1.0,4.0,Unknown
1982,11,18,92,India,6,South Asia,Delhi,New Delhi,28.585836,77.153336,3,Bombing/Explosion,7,Government (Diplomatic),359.0,Soviet Union,Unknown,6,Explosives,0.0,,
1982,12,10,92,India,6,South Asia,Maharashtra,Bombay,19.075984,72.877656,3,Bombing/Explosion,14,Private Citizens & Property,92.0,India,Unknown,6,Explosives,0.0,,
1983,1,31,92,India,6,South Asia,Assam,Unknown,26.200605,92.937574,3,Bombing/Explosion,19,Transportation,92.0,India,Unknown,6,Explosives,0.0,,
1983,2,3,92,India,6,South Asia,Delhi,New Delhi,28.585836,77.153336,3,Bombing/Explosion,6,Airports & Aircraft,69.0,France,Iranians,6,Explosives,0.0,,
1983,2,3,92,India,6,South Asia,Delhi,New Delhi,28.585836,77.153336,3,Bombing/Explosion,6,Airports & Aircraft,95.0,Iraq,Iranians,6,Explosives,0.0,,
1983,2,11,92,India,6,South Asia,Delhi,New Delhi,28.585836,77.153336,9,Unknown,7,Government (Diplomatic),217.0,United States,Unknown,13,Unknown,0.0,,
1983,2,15,92,India,6,South Asia,Assam,Gauhati,26.149794,91.763931,3,Bombing/Explosion,14,Private Citizens & Property,92.0,India,Unknown,6,Explosives,0.0,,
1983,2,15,92,India,6,South Asia,Assam,Guwahati,26.149794,91.763931,1,Assassination,2,Government (General),92.0,India,Unknown,13,Unknown,1.0,,
1983,3,8,92,India,6,South Asia,Delhi,New Delhi,28.585836,77.153336,3,Bombing/Explosion,14,Private Citizens & Property,92.0,India,All India Sikh Students Federation (AISSF),6,Explosives,0.0,,
1983,3,8,92,India,6,South Asia,Delhi,New Delhi,28.585836,77.153336,3,Bombing/Explosion,19,Transportation,92.0,India,All India Sikh Students Federation (AISSF),6,Explosives,0.0,,
1983,3,15,92,India,6,South Asia,Assam,Unknown,26.200605,92.937574,3,Bombing/Explosion,19,Transportation,92.0,India,Unknown,6,Explosives,0.0,,
1983,3,15,92,India,6,South Asia,Assam,Gauhati,26.149794,91.763931,3,Bombing/Explosion,14,Private Citizens & Property,92.0,India,Unknown,6,Explosives,0.0,,
1983,3,21,92,India,6,South Asia,Punjab,Harchowal,31.780193,75.451952,1,Assassination,15,Religious Figures/Institutions,92.0,India,Unknown,13,Unknown,0.0,,
1983,3,21,92,India,6,South Asia,Punjab,Mothan Wala,30.663937,74.401789,1,Assassination,14,Private Citizens & Property,92.0,India,Sikh Extremists,5,Firearms,1.0,,
1983,3,21,92,India,6,South Asia,Punjab,Qadian,31.818914,75.376351,2,Armed Assault,14,Private Citizens & Property,92.0,India,Sikh Extremists,5,Firearms,0.0,4.0,Unknown
1983,3,30,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,3,Bombing/Explosion,14,Private Citizens & Property,92.0,India,Unknown,6,Explosives,0.0,,
1983,3,30,92,India,6,South Asia,Chhattisgarh,Baloda Bazar,21.656917,82.159196,3,Bombing/Explosion,14,Private Citizens & Property,92.0,India,Unknown,6,Explosives,10.0,4.0,Unknown
1983,3,30,92,India,6,South Asia,Assam,Gauhati,26.149794,91.763931,3,Bombing/Explosion,14,Private Citizens & Property,92.0,India,Unknown,6,Explosives,0.0,,
1983,4,7,92,India,6,South Asia,Assam,Gauhati,26.149794,91.763931,3,Bombing/Explosion,14,Private Citizens & Property,92.0,India,Unknown,6,Explosives,2.0,4.0,Unknown
1983,4,8,92,India,6,South Asia,Assam,Gauhati,26.149794,91.763931,3,Bombing/Explosion,19,Transportation,92.0,India,Unknown,6,Explosives,0.0,,
1983,4,9,92,India,6,South Asia,Uttar Pradesh,Kanpur,26.449923,80.331874,3,Bombing/Explosion,14,Private Citizens & Property,92.0,India,Unknown,6,Explosives,0.0,4.0,Unknown
1983,4,9,92,India,6,South Asia,Assam,Gauhati,26.149794,91.763931,3,Bombing/Explosion,11,Maritime,92.0,India,Unknown,6,Explosives,0.0,4.0,Unknown
1983,4,25,92,India,6,South Asia,Punjab,Amritsar,31.633078,74.878288,1,Assassination,3,Police,92.0,India,Sikh Extremists,5,Firearms,2.0,,
1983,6,26,92,India,6,South Asia,Punjab,Sultanpur Lodhi,31.214128,75.195393,1,Assassination,15,Religious Figures/Institutions,92.0,India,Sikh Extremists,13,Unknown,1.0,,
1983,6,27,92,India,6,South Asia,Punjab,Jalandhar,31.326015,75.576183,3,Bombing/Explosion,14,Private Citizens & Property,92.0,India,Sikh Extremists,6,Explosives,2.0,,
1983,8,15,92,India,6,South Asia,Punjab,Sri Muktsar Sahib,30.476639,74.511172,1,Assassination,3,Police,92.0,India,Unknown,5,Firearms,2.0,,
1983,9,21,92,India,6,South Asia,Punjab,Jalandhar,31.326015,75.576183,3,Bombing/Explosion,15,Religious Figures/Institutions,92.0,India,Sikh Extremists,6,Explosives,0.0,,
1983,9,21,92,India,6,South Asia,Punjab,Ludhiana,30.898024,75.860077,1,Assassination,3,Police,92.0,India,Sikh Extremists,5,Firearms,2.0,,
1983,9,21,92,India,6,South Asia,Punjab,Amritsar,31.633078,74.878288,9,Unknown,1,Business,92.0,India,Sikh Extremists,13,Unknown,0.0,3.0,Minor (likely < $1 million)
1983,9,21,92,India,6,South Asia,Punjab,Amritsar,31.633078,74.878288,9,Unknown,1,Business,92.0,India,Sikh Extremists,13,Unknown,0.0,3.0,Minor (likely < $1 million)
1983,9,23,92,India,6,South Asia,Punjab,Amritsar,31.633078,74.878288,1,Assassination,14,Private Citizens & Property,92.0,India,Extremists,5,Firearms,1.0,,
1983,9,26,92,India,6,South Asia,Punjab,Amritsar,31.633078,74.878288,1,Assassination,3,Police,92.0,India,Sikh Extremists,5,Firearms,3.0,,
1983,10,13,92,India,6,South Asia,Delhi,Delhi,28.690073,77.213982,3,Bombing/Explosion,1,Business,92.0,India,Unknown,6,Explosives,4.0,,
1983,10,13,92,India,6,South Asia,Delhi,Delhi,28.690073,77.213982,3,Bombing/Explosion,1,Business,92.0,India,Unknown,6,Explosives,4.0,,
1983,10,14,92,India,6,South Asia,Delhi,New Delhi,28.585836,77.153336,3,Bombing/Explosion,19,Transportation,92.0,India,Unknown,6,Explosives,0.0,,
1983,10,14,92,India,6,South Asia,Punjab,Tarn Taran,31.448943,74.925262,1,Assassination,3,Police,92.0,India,Unknown,5,Firearms,0.0,,
1983,10,15,92,India,6,South Asia,Chandigarh,Chandigarh,30.733315,76.779418,3,Bombing/Explosion,14,Private Citizens & Property,92.0,India,Unknown,6,Explosives,3.0,,
1983,10,17,92,India,6,South Asia,Chandigarh,Chandigarh,30.733315,76.779418,3,Bombing/Explosion,3,Police,92.0,India,Unknown,6,Explosives,0.0,,
1983,10,17,92,India,6,South Asia,Chandigarh,Chandigarh,30.733315,76.779418,3,Bombing/Explosion,3,Police,92.0,India,Unknown,6,Explosives,0.0,,
1983,10,17,92,India,6,South Asia,Assam,Unknown,26.200605,92.937574,3,Bombing/Explosion,19,Transportation,92.0,India,Unknown,6,Explosives,0.0,4.0,Unknown
1983,10,17,92,India,6,South Asia,Punjab,Amritsar,31.633078,74.878288,1,Assassination,14,Private Citizens & Property,92.0,India,Sikh Extremists,5,Firearms,1.0,,
1983,10,25,92,India,6,South Asia,Delhi,New Delhi,28.585836,77.153336,1,Assassination,7,Government (Diplomatic),102.0,Jordan,Unknown,5,Firearms,0.0,,
1983,11,7,92,India,6,South Asia,Assam,Unknown,26.200605,92.937574,3,Bombing/Explosion,19,Transportation,92.0,India,Anti-Immigrant extremists,6,Explosives,14.0,,
1983,11,7,92,India,6,South Asia,Delhi,New Delhi,28.585836,77.153336,9,Unknown,6,Airports & Aircraft,94.0,Iran,Fedayeen Khalq (People's Commandos),13,Unknown,0.0,4.0,Unknown
1983,11,15,92,India,6,South Asia,Assam,Gauhati,26.149794,91.763931,3,Bombing/Explosion,3,Police,92.0,India,Unknown,6,Explosives,1.0,4.0,Unknown
1983,11,18,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,6,Hostage Taking (Kidnapping),19,Transportation,92.0,India,Unknown,5,Firearms,4.0,,
1983,11,19,92,India,6,South Asia,Assam,Gauhati,26.149794,91.763931,1,Assassination,2,Government (General),92.0,India,Unknown,5,Firearms,0.0,,
1983,11,28,92,India,6,South Asia,Punjab,Jalandhar,31.326015,75.576183,1,Assassination,2,Government (General),92.0,India,Unknown,5,Firearms,0.0,,
1983,12,20,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,1,Assassination,14,Private Citizens & Property,92.0,India,Sikh Extremists,5,Firearms,1.0,,
1984,2,0,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,3,Bombing/Explosion,14,Private Citizens & Property,92.0,India,Sikh Extremists,6,Explosives,0.0,,
1984,2,0,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,1,Assassination,14,Private Citizens & Property,92.0,India,Sikh Extremists,13,Unknown,2.0,,
1984,2,1,92,India,6,South Asia,Tripura,Unknown,23.940848,91.988153,2,Armed Assault,4,Military,92.0,India,Tripura National Volunteers (TNV),13,Unknown,4.0,,
1984,2,7,92,India,6,South Asia,Nagaland,Dimapur,25.906267,93.72759,1,Assassination,2,Government (General),92.0,India,Naga People,5,Firearms,1.0,,
1984,2,15,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,9,Unknown,3,Police,92.0,India,Sikh Extremists,13,Unknown,1.0,4.0,Unknown
1984,2,16,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,1,Assassination,3,Police,92.0,India,Unknown,9,Melee,1.0,,
1984,2,16,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,2,Armed Assault,3,Police,92.0,India,Unknown,6,Explosives,1.0,4.0,Unknown
1984,2,20,92,India,6,South Asia,Punjab,Bhatinda,30.210994,74.945474,7,Facility/Infrastructure Attack,15,Religious Figures/Institutions,92.0,India,Unknown,8,Incendiary,0.0,,
1984,2,20,92,India,6,South Asia,Punjab,Bhatinda,30.210994,74.945474,7,Facility/Infrastructure Attack,15,Religious Figures/Institutions,92.0,India,Unknown,8,Incendiary,0.0,,
1984,2,20,92,India,6,South Asia,Punjab,Bhatinda,30.210994,74.945474,7,Facility/Infrastructure Attack,15,Religious Figures/Institutions,92.0,India,Unknown,8,Incendiary,0.0,,
1984,2,21,92,India,6,South Asia,Punjab,Amritsar,31.633078,74.878288,3,Bombing/Explosion,3,Police,92.0,India,Sikh Extremists,6,Explosives,0.0,,
1984,2,21,92,India,6,South Asia,Punjab,Hoshiapur,31.534899,75.910571,3,Bombing/Explosion,15,Religious Figures/Institutions,92.0,India,Unknown,6,Explosives,0.0,,
1984,2,26,92,India,6,South Asia,Haryana,Pehowa,29.980676,76.584475,2,Armed Assault,14,Private Citizens & Property,92.0,India,Unknown,5,Firearms,3.0,,
1984,2,26,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,2,Armed Assault,14,Private Citizens & Property,92.0,India,Sikh Extremists,5,Firearms,5.0,,
1984,2,29,92,India,6,South Asia,Punjab,Amritsar,31.633078,74.878288,3,Bombing/Explosion,15,Religious Figures/Institutions,92.0,India,Unknown,6,Explosives,3.0,,
1984,3,15,92,India,6,South Asia,Manipur,Imphal,24.798346,93.94043,9,Unknown,4,Military,92.0,India,People's Liberation Army (India),13,Unknown,14.0,,
1984,3,23,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,3,Bombing/Explosion,19,Transportation,92.0,India,Sikh Extremists,6,Explosives,0.0,,
1984,3,23,92,India,6,South Asia,Punjab,Ferozepur district,30.933135,74.622476,1,Assassination,15,Religious Figures/Institutions,92.0,India,Sikh Extremists,5,Firearms,1.0,,
1984,3,25,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,1,Assassination,14,Private Citizens & Property,,,Unknown,13,Unknown,1.0,,
1984,3,28,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,3,Bombing/Explosion,3,Police,92.0,India,Unknown,6,Explosives,0.0,,
1984,3,28,92,India,6,South Asia,Delhi,New Delhi,28.585836,77.153336,1,Assassination,2,Government (General),92.0,India,Sikh Extremists,5,Firearms,2.0,,
1984,3,28,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,1,Assassination,1,Business,92.0,India,Unknown,5,Firearms,0.0,,
1984,3,30,92,India,6,South Asia,Punjab,Amritsar,31.633078,74.878288,1,Assassination,14,Private Citizens & Property,92.0,India,Unknown,5,Firearms,4.0,,
1984,3,30,92,India,6,South Asia,Delhi,Delhi,28.690073,77.213982,1,Assassination,14,Private Citizens & Property,92.0,India,Unknown,13,Unknown,1.0,,
1984,3,30,92,India,6,South Asia,Tripura,Baramura,23.807118,91.563953,2,Armed Assault,21,Utilities,92.0,India,Tripura Nationalists,5,Firearms,0.0,,
1984,4,1,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,3,Bombing/Explosion,15,Religious Figures/Institutions,92.0,India,Unknown,6,Explosives,2.0,,
1984,4,2,92,India,6,South Asia,Punjab,Amritsar,31.633078,74.878288,1,Assassination,2,Government (General),92.0,India,Dishmish Regiment,13,Unknown,3.0,,
1984,4,3,92,India,6,South Asia,Chandigarh,Chandigarh,30.733315,76.779418,1,Assassination,2,Government (General),92.0,India,Dishmish Regiment,5,Firearms,1.0,,
1984,4,4,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,3,Bombing/Explosion,14,Private Citizens & Property,92.0,India,Sikh Extremists,6,Explosives,0.0,4.0,Unknown
1984,4,5,92,India,6,South Asia,Rajasthan,Unknown,27.023803,74.217933,9,Unknown,1,Business,92.0,India,Sikh Extremists,13,Unknown,2.0,,
1984,4,7,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,3,Bombing/Explosion,14,Private Citizens & Property,92.0,India,Unknown,6,Explosives,0.0,,
1984,4,8,92,India,6,South Asia,Punjab,Bhatinda,30.210994,74.945474,3,Bombing/Explosion,15,Religious Figures/Institutions,92.0,India,Unknown,6,Explosives,1.0,4.0,Unknown
1984,4,8,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,3,Bombing/Explosion,15,Religious Figures/Institutions,92.0,India,Sikh Extremists,6,Explosives,0.0,4.0,Unknown
1984,4,8,92,India,6,South Asia,Punjab,Bhatinda,30.210994,74.945474,1,Assassination,14,Private Citizens & Property,92.0,India,Unknown,5,Firearms,1.0,,
1984,4,8,92,India,6,South Asia,Punjab,Rupnagar,30.966064,76.523162,7,Facility/Infrastructure Attack,8,Educational Institution,92.0,India,Unknown,8,Incendiary,0.0,,
1984,4,11,92,India,6,South Asia,Punjab,Rahon,31.052128,76.117499,1,Assassination,1,Business,92.0,India,Sikh Extremists,5,Firearms,2.0,,
1984,4,11,92,India,6,South Asia,Punjab,Patiala,30.34,76.38,1,Assassination,1,Business,92.0,India,Unknown,13,Unknown,1.0,,
1984,4,11,92,India,6,South Asia,Punjab,Amritsar,31.633078,74.878288,1,Assassination,1,Business,92.0,India,Sikh Extremists,13,Unknown,1.0,,
1984,4,11,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,3,Bombing/Explosion,15,Religious Figures/Institutions,92.0,India,Unknown,6,Explosives,0.0,,
1984,4,11,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,2,Armed Assault,19,Transportation,92.0,India,Sikh Extremists,8,Incendiary,0.0,,
1984,4,11,92,India,6,South Asia,Punjab,Amritsar,31.633078,74.878288,2,Armed Assault,15,Religious Figures/Institutions,92.0,India,Unknown,5,Firearms,2.0,,
1984,4,12,92,India,6,South Asia,Haryana,Kalanaur,28.831237,76.39556,1,Assassination,10,Journalists & Media,92.0,India,Sikh Extremists,5,Firearms,1.0,,
1984,4,14,92,India,6,South Asia,Punjab,Amritsar,31.633078,74.878288,1,Assassination,17,Terrorists/Non-State Militia,92.0,India,Sikh Extremists,5,Firearms,1.0,,
1984,4,14,92,India,6,South Asia,Punjab,Amritsar,31.633078,74.878288,1,Assassination,17,Terrorists/Non-State Militia,92.0,India,Sikh Extremists,5,Firearms,1.0,,
1984,4,15,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,3,Bombing/Explosion,19,Transportation,92.0,India,Dishmish Regiment,5,Firearms,0.0,,
1984,4,15,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,3,Bombing/Explosion,19,Transportation,92.0,India,Dishmish Regiment,5,Firearms,0.0,,
1984,4,15,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,3,Bombing/Explosion,19,Transportation,92.0,India,Dishmish Regiment,5,Firearms,0.0,,
1984,4,15,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,3,Bombing/Explosion,19,Transportation,92.0,India,Dishmish Regiment,5,Firearms,0.0,,
1984,4,15,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,3,Bombing/Explosion,19,Transportation,92.0,India,Dishmish Regiment,5,Firearms,0.0,,
1984,4,15,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,3,Bombing/Explosion,19,Transportation,92.0,India,Dishmish Regiment,5,Firearms,0.0,,
